"Sample","LipidScore","T_cell_exhaustion","Cytotoxic","IFN_gamma","MDSC","Treg"
"TCGA.DX.AB37.01A.11R.A41I.07",-0.381208344745572,0.622775690195957,0.735287723983727,0.442191236297009,0.748462828395752,0.621048382088069
"TCGA.SG.A6Z7.01A.12R.A32Q.07",0.382338080687939,-0.502445393538965,-0.786303578035303,-0.819523708099089,-0.727811937146761,-0.0401384764278057
"TCGA.DX.A1KZ.01A.11R.A24X.07",0.12693507636368,0.0118199808320764,0.361365108482901,-0.612725501258308,0.769237935531955,-0.204126380042836
"TCGA.DX.AB2G.01A.11R.A39D.07",-0.438280449476189,0.383989062634454,0.212498533393965,0.604329058103786,0.600645922613502,-0.388688156314914
"TCGA.DX.AB36.01A.11R.A41I.07",0.311763198285694,-0.585540821713611,-0.765697543719869,-0.310343462415174,-0.556485103416725,-0.640730789352421
"TCGA.DX.A1L1.01A.11R.A24X.07",0.520817406588345,0.74062917300705,0.592357616515552,0.839973913853607,-0.0751739826906412,0.700919197565369
"TCGA.DX.AB2H.01A.11R.A39D.07",0.484240841968305,-0.872022607993541,-0.495980260847641,-0.807863109841309,-0.819110614247562,-0.851163561592436
"TCGA.DX.A2IZ.01A.11R.A21T.07",0.240006893711092,-0.824725940188193,-0.789571752430049,-0.678561093786639,-0.796332870597291,-0.797177143681165
"TCGA.DX.A1L0.01A.11R.A24X.07",0.832044743114853,-0.799447222135959,-0.467659037938454,-0.194782397924281,0.0279547257914821,-0.0655750362392354
"TCGA.PC.A5DN.01A.12R.A27Q.07",-0.227602449669615,-0.486890545944258,-0.703560494762975,-0.881649638209993,-0.746158939884413,-0.805473210888418
"TCGA.DX.A3LT.01A.12R.A21T.07",-0.43514956108858,0.375057270354528,0.513934290712652,0.535428841368898,0.605191305377548,-0.44657488002296
"TCGA.DX.AB35.01A.21R.A41I.07",0.767505364784622,-0.486630849973603,-0.263365366886261,-0.570075463494923,0.52245860237481,-0.677972426166017
"TCGA.DX.A1KW.01A.22R.A24X.07",1.32310185297257,-0.723611067979255,-0.7680574600216,-0.674043807165545,0.138789871854215,-0.681966889584288
"TCGA.HB.A3YV.01A.11R.A24X.07",0.175973061538334,-0.501357604924673,-0.726343902363281,-0.726984082762151,-0.836143740227454,-0.493751830947674
"TCGA.DX.A23V.01A.11R.A29R.07",-0.251951342493207,0.322113532231285,-0.0873885904164467,0.281872455689586,0.554717098316875,0.499911521678437
"TCGA.DX.A2J1.01A.11R.A21T.07",-0.861036254366267,0.818421788143225,0.7882674451104,0.215001677355305,0.507247683648401,0.607147586562685
"TCGA.DX.A7EI.01A.11R.A33J.07",-0.521130653242645,-0.703128050647059,-0.810139574970113,-0.689249869859047,-0.31362709248478,-0.676563036735155
"TCGA.DX.A3LW.01A.21R.A21T.07",0.353572392095888,-0.799260892518866,-0.691498701530846,-0.6208806153471,-0.474151086569536,-0.680706432819267
"TCGA.DX.A3U5.01A.11R.A22K.07",-0.0378058698494723,-0.408755541055116,0.160801341638184,-0.462122213851045,0.253314213603094,-0.0347654671224003
"TCGA.DX.A1L3.01A.11R.A24X.07",0.377295549213893,0.583837968322831,0.101969195134223,0.725878078320549,0.666338014743085,0.629139541514778
"TCGA.DX.AB3A.01A.11R.A41I.07",0.211944530459996,-0.748423961988758,-0.175643313346249,-0.591689699077668,-0.716321967579653,-0.570494451438102
"TCGA.DX.A3LU.01A.11R.A21T.07",-0.581585380392631,0.875283376292662,0.784075028725816,0.888885438340424,0.755989747541274,0.467412203533357
"TCGA.DX.A48N.01A.11R.A30C.07",-0.198905706115396,-0.655821560183841,-0.814131046773024,-0.605989498727035,-0.748038382877044,-0.799577665983479
