"Sample","Score"
"GSM528374.CEL.gz",0.26470039073344
"GSM528375.CEL.gz",-0.493153746805386
"GSM528376.CEL.gz",0.710950168772201
"GSM528377.CEL.gz",0.284136277060729
"GSM528378.CEL.gz",-0.548921537351136
"GSM528379.CEL.gz",-0.303979163540861
"GSM528380.CEL.gz",-0.0846969584711385
"GSM528381.CEL.gz",-0.176506534941646
"GSM528382.CEL.gz",1.17052242557221
"GSM528383.CEL.gz",0.19505831620624
"GSM528384.CEL.gz",0.265446951432407
"GSM528385.CEL.gz",-0.0493346342613348
"GSM528386.CEL.gz",0.106266826724967
"GSM528387.CEL.gz",0.0334775236272673
"GSM528388.CEL.gz",-0.124076750055963
"GSM528389.CEL.gz",-0.126711876743066
"GSM528390.CEL.gz",-0.320934705218772
"GSM528391.CEL.gz",-0.0458806625461662
"GSM528392.CEL.gz",-0.187962401050729
"GSM528393.CEL.gz",0.096668238893651
"GSM528394.CEL.gz",-0.0156487184075428
"GSM528395.CEL.gz",0.41148187896829
"GSM528396.CEL.gz",-0.0641982311638686
"GSM528397.CEL.gz",0.210087700334983
"GSM528398.CEL.gz",0.238756788744258
"GSM528399.CEL.gz",0.0751827909376696
"GSM528400.CEL.gz",0.0552609555099691
"GSM528401.CEL.gz",-0.121912775339378
"GSM528402.CEL.gz",-0.0908270241377122
"GSM528403.CEL.gz",1.9284133607031
"GSM528404.CEL.gz",0.311724408295586
"GSM528405.CEL.gz",0.384802912702123
"GSM528406.CEL.gz",-0.503713209181655
"GSM528407.CEL.gz",0.262240852014514
"GSM528408.CEL.gz",0.082729217828696
"GSM528409.CEL.gz",0.901966353407037
"GSM528410.CEL.gz",-0.0910616919908374
"GSM528411.CEL.gz",0.126156847853867
"GSM528412.CEL.gz",0.278842828613861
"GSM528413.CEL.gz",-0.383394641452196
"GSM528414.CEL.gz",1.58781976859505
"GSM528415.CEL.gz",0.129871724786688
"GSM528416.CEL.gz",0.115849741118945
"GSM528417.CEL.gz",0.184510614757198
"GSM528418.CEL.gz",-0.212345803084086
"GSM528419.CEL.gz",-0.331005335827126
"GSM528420.CEL.gz",0.723764520917738
"GSM528421.CEL.gz",-0.0912825301741713
"GSM528422.CEL.gz",0.900102284574539
